Profit, Revenue, Cost
17507974.8, 17553200, 45225.2
17352880.4, 17397700, 44819.6
17521465.2, 17566400, 44934.8
17406049.2, 17451200, 45150.8
17412964.4, 17458000, 45035.6
17351745.2, 17396500, 44754.8
17355862.8, 17400800, 44937.2
17420883.6, 17465900, 45016.4
17453486.8, 17498700, 45213.2
17408934.0, 17453900, 44966.0
17559059.6, 17604400, 45340.4
17492425.2, 17537600, 45174.8
17598230.8, 17643600, 45369.2
17459598.8, 17504800, 45201.2
17490820.4, 17536300, 45479.6
17490930.0, 17536100, 45170.0
17494276.4, 17539600, 45323.6
17551576.4, 17596900, 45323.6
17379642.0, 17424800, 45158.0
17551215.6, 17596400, 45184.4
17543157.2, 17588500, 45342.8
17416219.6, 17461200, 44980.4
17456886.0, 17501900, 45014.0
17442350.0, 17487400, 45050.0
17473898.8, 17519100, 45201.2
17437474.0, 17482500, 45026.0
17412104.4, 17456900, 44795.6
17432580.4, 17477700, 45119.6
17401443.6, 17446400, 44956.4
17350122.0, 17395100, 44978.0
17572288.4, 17617900, 45611.6
17457843.6, 17503100, 45256.4
17415512.4, 17460500, 44987.6
17505923.6, 17551000, 45076.4
17438078.0, 17482900, 44822.0
17341310.8, 17386200, 44889.2
17318045.2, 17362800, 44754.8
17347244.4, 17392100, 44855.6
17579902.8, 17625200, 45297.2
17268951.6, 17313500, 44548.4
17322166.0, 17367000, 44834.0
17429994.0, 17475200, 45206.0
17385222.8, 17430100, 44877.2
17328825.2, 17373700, 44874.8
17418463.6, 17463600, 45136.4
17451626.8, 17496900, 45273.2
17411370.0, 17456600, 45230.0
17411540.4, 17456600, 45059.6
17395808.4, 17440700, 44891.6
17438278.0, 17483400, 45122.0
17458901.2, 17504400, 45498.8
17422748.4, 17467700, 44951.6
17453522.8, 17498700, 45177.2
17577343.6, 17622600, 45256.4
17377114.8, 17422100, 44985.2
17434496.4, 17479400, 44903.6
17419498.0, 17464500, 45002.0
17479809.2, 17524900, 45090.8
17345140.4, 17389900, 44759.6
17410730.8, 17455800, 45069.2
17405603.6, 17450800, 45196.4
17410662.8, 17455600, 44937.2
17455610.8, 17500800, 45189.2
17387329.2, 17432300, 44970.8
17433874.0, 17478900, 45026.0
17405514.0, 17450600, 45086.0
17474528.4, 17519600, 45071.6
17333346.0, 17378000, 44654.0
17426240.4, 17471300, 45059.6
17443282.0, 17488200, 44918.0
17457880.4, 17503000, 45119.6
17389093.2, 17434100, 45006.8
17467750.8, 17512700, 44949.2
17436166.0, 17481000, 44834.0
17480281.2, 17525600, 45318.8
17429954.8, 17475000, 45045.2
17621712.4, 17667300, 45587.6
17545591.6, 17590800, 45208.4
17400439.6, 17445300, 44860.4
17403490.0, 17448300, 44810.0
17533630.8, 17578700, 45069.2
17360353.2, 17405300, 44946.8
17350447.6, 17395200, 44752.4
17509291.6, 17554200, 44908.4
17486850.0, 17531900, 45050.0
17491194.8, 17536300, 45105.2
17461411.6, 17506500, 45088.4
17399014.8, 17444000, 44985.2
17388437.2, 17433300, 44862.8
17460143.6, 17505400, 45256.4
17495882.0, 17541100, 45218.0
17496190.8, 17541200, 45009.2
17410378.0, 17455500, 45122.0
17482589.2, 17527800, 45210.8
17420911.6, 17466000, 45088.4
17480843.6, 17525800, 44956.4
17388854.8, 17433600, 44745.2
17444864.4, 17489900, 45035.6
17433076.4, 17478100, 45023.6
17415850.8, 17460800, 44949.2
17358713.2, 17403600, 44886.8
17415608.4, 17460500, 44891.6
17450259.6, 17495300, 45040.4
17441112.4, 17486100, 44987.6
17502654.0, 17547800, 45146.0
